gene	PMID_PMCID	evidence
ENSG00000065675	20949042,15961393,19837873,29167402,20405200,22009151,16420445,21812036,19457107,15573406,31235589,16826604,14555244,21389984,19915070,8093576,9137907,15843060,15850677,15893856,33250858,8821058,21801747,15341594,16179541,16110345,20374418,21936877,17975304,17979788,15608081,2642064,22816024,12660249,12670874,15247150,17635668,11080196,17565007,9648855,1357186,19810877,12691833,17287338,17116309,27442690,17701352,17673354,31768670,16216387,12058035,17881134,17884684,18571301,18508479,32728898,32762399,15695170,21570450,17017568,17027782,12622408,18619942,14525944,24944866,10425376,33844027,35217173,22846799,12875608,17540012,21729715,9056544,18923405,15064332,24500000,19245663,15147504,27688248	PubChem
ENSG00000066427	12676955,19492089,30026307,12940846,22037902,18990604,22081612,19672991,32531224,15911147,25773989,28236214,16087769,22023810,26295831,23449602,24798551,30867060,18342564,29570846,16973207,17017535,18665420,15954136,22806825,23413156,35199253,23668915,17118264	PubChem
ENSG00000066777	28710524,28887694,9013393	PubChem
ENSG00000067082	27734217,31401178,29704474,19835562,26204407,21524257,32335135,20632962,24856828,35199308	PubChem
ENSG00000067182	29955050,11072751,21093436,22540228,12429221,15670651,25834699,11205147,34476836,9469581,35731466,22973882,12599519,33608417,35667491,18925972,9013604	PubChem
ENSG00000067225	17877381,32071304,26975375,18383532,12716024,28922168,24643519,29572723	PubChem
ENSG00000067560	27012608,21699982,33402057,30769001,32986850,32403147,30556245,23774254,33345850,32168102,24878243,23681979,25323761,22542954	miRTex,PubChem
ENSG00000067715	19110419,15033168,32020363,29955050,27794539,34274951,28254618,19345186,30081046,22507528,33864663,21307242,25389371,28686317,18534259,23186369,21335487,27156691,26230914,27151770,18508038,26346361,17203472,30550933,34412704,19027004,29329581,31582965,27863501,22293195,25824039,25908255,21801384,19778565,31705926,31750820,23871716,30352316,22524690,32449271,26999333,20977765,15336524,16111820,16144694,25666429,21078355,21219959,11299301,21382360,34364303,34310962,34308845,34404209,34543233,29267220,29214369,29198015,18721798,29048735,35055183,35014986,34107997,31351366,25777539,34718250,30009921,26827723,34740497,23744253,23771608,30728466,30734970,30466621,14687604,14690537,29620282,19943339,27417722,33443645,33686256,28937602,18481023,18430361,19457134,32168102,32728898,15672541,26231448,12631585,18639562,24726706,24752390,20697819,22804247,26861286,29102164,18786164,18840677,30065205,17442064,34153665,29783643,31069623,29428223,23645222,29534526,29904013,30011811,30200569,24618100,34808223,32376269,31247335,34860135,31132685	PubChem
ENSG00000068903	27158385,22446090,22642300,26982234,17588900,22914317,26089639,23570735,33003340,24792244,17708669,28257421,28168426,27535567,28478325,27796760,25536118,27163642,23579074,34642296,25395356,25608039,23417962,35443760,18282481,27235848,22898818,22204321,22121876,30661205,29654491,32445087	miRTex,PubChem
ENSG00000069275	26914237,21812969,34106485,26738859	PubChem
ENSG00000069329	24262182,24373818,24980502,24740878,27909246,27385586,22336192,23462481,22991136,22410496,26300542,26547032,23408866,29743203,23536430,24512632,26965686,28399880,28482024,28384478,33257649,30155515,33745227,33459343,28173004,27262440,26618722,28040727,23261770,23411763,33611076,34127073,32540366,35766879,33032646,35637478,25403878,33044192,25701813,34396589,28131822,33367571,25149416,32671737,32323152,32266064,33459660,22806825,32813147,27872751,32436106,24557499,34983390,30509690	DisGeNET,PubChem
ENSG00000069345	27713507,20889486,22016808,35715682,33760024,16344956,20060408	PubChem
ENSG00000069482	2460590,27223098,2664885,29218504,18717707,18779056,24210137,1927057,2463283	PubChem
